Description (Do not copy to CHIRP),Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
,K2EAR,145.350000,-,0.600000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WA2EMR,145.410000,-,0.600000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,NEW YOR,145.670000,,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,FM,5.00,,5.0W,,,,,
,KC2RA,146.430000,+,1.000000,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,THROGS,146.520000,split,439.690000,,88.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,W2EJ,146.640000,-,0.600000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,W2FWG,146.670000,-,0.600000,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WB2ZSE,147.000000,-,0.600000,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,K2HAM,147.090000,+,0.600000,Cross,114.8,82.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,KC2GOW,440.550000,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,KE2AEM,441.150000,+,5.000000,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,BOWLING,441.700000,+,5.000000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WB2QBP,442.650000,+,5.000000,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2YN,442.750000,+,5.000000,TSQL,173.8,173.8,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2NSA,443.300000,+,5.000000,TSQL,123.0,123.0,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2ION,444.050000,+,5.000000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,KB2YHS,444.550000,+,5.000000,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WB2IIQ,444.650000,+,5.000000,Tone,103.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WA2CBS,445.075000,-,5.000000,Tone,114.8,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WA2EMR,445.375000,-,5.000000,Tone,114.8,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2XPM,445.525000,-,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2YXZ,445.975000,-,5.000000,Tone,74.4,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2UOL,446.175000,-,5.000000,Tone,136.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,DOWNTOW,446.825000,-,5.000000,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,KF2GV,446.925000,-,5.000000,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WB2WAK,447.025000,-,5.000000,DTCS,88.5,88.5,516,NN,516,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2HBA,447.625000,-,5.000000,Tone,136.5,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2ION,447.925000,-,5.000000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,KB2NGU,448.375000,-,5.000000,Tone,162.2,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2JDW,449.025000,-,5.000000,TSQL,123.0,123.0,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,N2BUS,449.625000,-,5.000000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WB2ZSE,449.800000,-,5.000000,Tone,114.8,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
,WB2JNQ,449.825000,-,5.000000,Tone,162.2,88.5,23,NN,23,Tone->Tone,FM,5.00,,5.0W,,,,,
